iso3c,country,date,hfce_cur,hfce_con
ARE,UAE,2015,201331775817.885,199033787462.705
ARE,UAE,2016,201585266711.163,205380820971.635
ARE,UAE,2017,210161123179.413,211202548954.229
ARE,UAE,2018,228273621498.251,211635210526.945
ARE,UAE,2019,245965111995.891,225317206960.882
ARE,UAE,2020,232986749968.039,222941365107.283
ARE,UAE,2021,228436572975.171,228436572975.171
ARE,UAE,2022,292763639864.504,272766887505.476
ARE,UAE,2023,331815049020.279,311254011633.983
ARE,UAE,2024,NA,NA
BHR,Bahrain,2015,28143831572.9349,26800753119.1248
BHR,Bahrain,2016,28911629480.6809,26742984073.3093
BHR,Bahrain,2017,28872926387.2322,27092686546.354
BHR,Bahrain,2018,30751750851.938,27556792875.7389
BHR,Bahrain,2019,29614268394.211,27597288532.9759
BHR,Bahrain,2020,27658125488.4567,26386807425.3744
BHR,Bahrain,2021,27923685091.6918,27923685091.6918
BHR,Bahrain,2022,32222334400.9958,29854645393.2249
BHR,Bahrain,2023,35074316581.5262,31248238026.1211
BHR,Bahrain,2024,37491774380.8071,32410999836.3885
KWT,Kuwait,2015,72557828809.151,84696733250.7004
KWT,Kuwait,2016,77425437565.4943,85665931514.9109
KWT,Kuwait,2017,83073397177.0503,88698175938.2573
KWT,Kuwait,2018,89150459267.9198,92276718675.0499
KWT,Kuwait,2019,91589122181.5942,94522252251.2573
KWT,Kuwait,2020,80425323756.9992,83870588946.5117
KWT,Kuwait,2021,90236615923.0595,90236615923.0595
KWT,Kuwait,2022,99127690369.5131,91790395992.8403
KWT,Kuwait,2023,105820603375.562,94098010907.6271
KWT,Kuwait,2024,NA,NA
OMN,Oman,2015,50062483883.0498,51603854518.5601
OMN,Oman,2016,51377858085.7455,54228557755.4487
OMN,Oman,2017,56467935565.8439,59270802246.2698
OMN,Oman,2018,59791060639.1715,59828771549.4207
OMN,Oman,2019,63673618262.6746,57549501147.3199
OMN,Oman,2020,63624166299.9941,63041248053.9894
OMN,Oman,2021,64121031031.1904,64121031031.1904
OMN,Oman,2022,74139128092.453,68649279281.2805
OMN,Oman,2023,81445425519.4807,72439757261.8803
OMN,Oman,2024,87134158649.5989,75218854806.8212
QAT,Qatar,2015,43855483926.5904,NA
QAT,Qatar,2016,47486454525.9991,NA
QAT,Qatar,2017,51788008176.5362,NA
QAT,Qatar,2018,55836093082.7762,NA
QAT,Qatar,2019,55341292865.2987,NA
QAT,Qatar,2020,49962542023.77,NA
QAT,Qatar,2021,49149979831.8555,49149979831.8555
QAT,Qatar,2022,59091482772.358,NA
QAT,Qatar,2023,NA,NA
QAT,Qatar,2024,NA,NA
SAU,Saudi Arabia,2015,668037865518.754,667019968206.616
SAU,Saudi Arabia,2016,676114170478.359,694945099994.413
SAU,Saudi Arabia,2017,732987076025.897,736614424267.278
SAU,Saudi Arabia,2018,760190670993.159,746514325289.938
SAU,Saudi Arabia,2019,783335814552.21,794588196843.693
SAU,Saudi Arabia,2020,677732530445.289,756011959506.857
SAU,Saudi Arabia,2021,803410942293.952,803410942293.952
SAU,Saudi Arabia,2022,939331224944.127,849882182893.634
SAU,Saudi Arabia,2023,1044248294021.48,914887579234.402
SAU,Saudi Arabia,2024,1109017024564.93,939714107284.263
