country,country_name,year,level,code,label,parent,direction,weight,raw_value,score,integration_level
ARE,United Arab Emirates,2015,1,ind_31_fdi,Intra-GCC FDI,Financial,1,1,5.971764464367643,15.980334148907005,NA
ARE,United Arab Emirates,2015,1,ind_39_banking,GCC Banking Penetration,Financial,1,1,0.6866284824938345,59.897196707851094,NA
ARE,United Arab Emirates,2015,1,ind_3_aviation,Aviation Connectivity,Infrastructure,1,1,3781,58.42644194231737,NA
ARE,United Arab Emirates,2015,1,ind_44_stock,Stock Market Openness,Financial,1,1,76.12804413307342,76.12804413307342,NA
ARE,United Arab Emirates,2015,1,ind_51,Intra-GCC Trade Intensity,Trade,1,1,7.4592277144049435,17.46479236119208,NA
ARE,United Arab Emirates,2015,1,ind_52,Services Trade Share,Trade,1,1,2.237768314321483,27.036948620602896,NA
ARE,United Arab Emirates,2015,1,ind_55,Non-oil Trade Intensity,Trade,1,1,7.151159157287852,27.875541783817106,NA
ARE,United Arab Emirates,2015,1,ind_56,Services % of Total Trade,Trade,1,1,30,100,NA
ARE,United Arab Emirates,2015,1,ind_63,Intermediate Goods Share,Trade,1,1,29.93876162989444,60.042752464689755,NA
ARE,United Arab Emirates,2015,1,ind_64,Trade Diversification,Trade,1,1,57.09436071273589,53.54441769948275,NA
ARE,United Arab Emirates,2015,1,ind_69_labor,GCC Labor Mobility,Labor,1,1,1.0191855441816817,71.38523202347969,NA
ARE,United Arab Emirates,2015,1,ind_71_student,Student Mobility,Labor,1,1,1.4830276929417026,36.405381090595526,NA
ARE,United Arab Emirates,2015,1,ind_72_tourism,Intra-GCC Tourism Share,Labor,1,1,21.64033882783883,25.215231946193338,NA
ARE,United Arab Emirates,2015,1,ind_bank_depth,Banking Depth,Financial,1,1,179.8844758612462,46.773928283987445,NA
ARE,United Arab Emirates,2015,1,ind_conv_fiscal,Fiscal Balance Convergence,Convergence,1,1,167.43056273515666,27.165019624112425,NA
ARE,United Arab Emirates,2015,1,ind_conv_income,Real Income Convergence,Convergence,1,1,88.52459016393443,100,NA
ARE,United Arab Emirates,2015,1,ind_conv_interest,Interest Rate Convergence,Convergence,1,1,47.41784037558686,47.66407545172122,NA
ARE,United Arab Emirates,2015,1,ind_conv_manufacturing,Manufacturing Convergence,Convergence,1,1,83.34633033542524,87.91821764166221,NA
ARE,United Arab Emirates,2015,1,ind_conv_non_oil,Non-oil Convergence,Convergence,1,1,89.28440049930131,64.83543802693646,NA
ARE,United Arab Emirates,2015,1,ind_conv_oil,Oil Dependency Convergence,Convergence,1,1,72.34483788110715,59.342388933710524,NA
ARE,United Arab Emirates,2015,1,ind_conv_price,Price Level Convergence,Convergence,1,1,87.14851072693189,57.331210512364414,NA
ARE,United Arab Emirates,2015,1,ind_elec_pc,Electricity Per Capita,Infrastructure,1,1,14577.468609906526,60.33613460470729,NA
ARE,United Arab Emirates,2015,1,ind_fiscal_balance,Fiscal Balance Ratio,Financial,1,1,-74.29712960064809,21.239205942566024,NA
ARE,United Arab Emirates,2015,1,ind_gdp_growth,Real GDP Growth,Financial,1,1,7.087666226576506,76.25922375416894,NA
ARE,United Arab Emirates,2015,1,ind_inflation,Inflation Rate,Financial,-1,1,1.6197791048495391,44.37918956168152,NA
ARE,United Arab Emirates,2015,1,ind_lfpr,Labor Force Participation,Labor,1,1,80.6,75.78347578347578,NA
ARE,United Arab Emirates,2015,1,ind_m2_growth,M2 Money Supply Growth,Financial,1,1,4.903215478566358,37.78225360182747,NA
ARE,United Arab Emirates,2015,1,ind_manufacturing_share,Manufacturing Share,Sustainability,1,1,8.88502555436669,17.214725486234638,NA
ARE,United Arab Emirates,2015,1,ind_non_oil_share,Non-oil GDP Share,Sustainability,1,1,79.79659990826097,78.49930347804272,NA
ARE,United Arab Emirates,2015,1,ind_nonoil_rev_share,Non-oil Revenue Share,Sustainability,1,1,21.9118811334303,36.72408905268462,NA
ARE,United Arab Emirates,2015,1,ind_oil_share,Oil Dependency,Sustainability,-1,1,20.20340009173902,78.49930347804275,NA
ARE,United Arab Emirates,2015,1,ind_unemployment,Unemployment Rate,Labor,-1,1,6.9,45.66576972727223,NA
ARE,United Arab Emirates,2015,2,Convergence,Convergence,Index,1,0.1,NA,63.465192884358174,NA
ARE,United Arab Emirates,2015,2,Financial,Financial Integration,Index,1,0.2,NA,47.30492201675786,NA
ARE,United Arab Emirates,2015,2,Infrastructure,Infrastructure,Index,1,0.2,NA,59.381288273512325,NA
ARE,United Arab Emirates,2015,2,Labor,Labor & Mobility,Index,1,0.2,NA,50.89101811420331,NA
ARE,United Arab Emirates,2015,2,Sustainability,Sustainability,Index,1,0.1,NA,52.734355373751185,NA
ARE,United Arab Emirates,2015,2,Trade,Trade Integration,Index,1,0.2,NA,47.6607421549641,NA
ARE,United Arab Emirates,2015,3,Index,GCC Economic Integration Index,NA,1,1,NA,52.667548937698456,Moderate
BHR,Bahrain,2015,1,ind_31_fdi,Intra-GCC FDI,Financial,1,1,27.093407257446326,97.41498773784068,NA
BHR,Bahrain,2015,1,ind_39_banking,GCC Banking Penetration,Financial,1,1,2.1892664643784454,90.3374643839455,NA
BHR,Bahrain,2015,1,ind_3_aviation,Aviation Connectivity,Infrastructure,1,1,3582,55.33562503757287,NA
BHR,Bahrain,2015,1,ind_44_stock,Stock Market Openness,Financial,1,1,97.35208736294845,97.35208736294845,NA
BHR,Bahrain,2015,1,ind_51,Intra-GCC Trade Intensity,Trade,1,1,52.895528173870375,100,NA
BHR,Bahrain,2015,1,ind_52,Services Trade Share,Trade,1,1,13.223882043467594,100,NA
